"from","to","interaction","term_type"
"HSP90AA1","Reactome | Extra-nuclear estrogen signaling","target-pathway","Reactome"
"MMP9","Reactome | Degradation of the extracellular matrix","target-pathway","Reactome"
"MMP1","Reactome | Degradation of the extracellular matrix","target-pathway","Reactome"
"MMP2","Reactome | Degradation of the extracellular matrix","target-pathway","Reactome"
"ADAM17","Reactome | Degradation of the extracellular matrix","target-pathway","Reactome"
"MMP12","Reactome | Degradation of the extracellular matrix","target-pathway","Reactome"
"MMP9","Reactome | Extracellular matrix organization","target-pathway","Reactome"
"MMP1","Reactome | Extracellular matrix organization","target-pathway","Reactome"
"MMP2","Reactome | Extracellular matrix organization","target-pathway","Reactome"
"TTR","Reactome | Extracellular matrix organization","target-pathway","Reactome"
"APP","Reactome | Extracellular matrix organization","target-pathway","Reactome"
"ADAM17","Reactome | Extracellular matrix organization","target-pathway","Reactome"
"MMP12","Reactome | Extracellular matrix organization","target-pathway","Reactome"
"APP","Reactome | Class A/1 (Rhodopsin-like receptors)","target-pathway","Reactome"
"C3AR1","Reactome | Class A/1 (Rhodopsin-like receptors)","target-pathway","Reactome"
"PIK3CA","Reactome | Diseases of signal transduction by growth factor receptors and second messengers","target-pathway","Reactome"
"RAF1","Reactome | Diseases of signal transduction by growth factor receptors and second messengers","target-pathway","Reactome"
"PDGFRA","Reactome | Diseases of signal transduction by growth factor receptors and second messengers","target-pathway","Reactome"
"ALK","Reactome | Diseases of signal transduction by growth factor receptors and second messengers","target-pathway","Reactome"
"ADAM17","Reactome | Diseases of signal transduction by growth factor receptors and second messengers","target-pathway","Reactome"
"PIK3CG","Reactome | Diseases of signal transduction by growth factor receptors and second messengers","target-pathway","Reactome"
"MAPK8","Reactome | Diseases of signal transduction by growth factor receptors and second messengers","target-pathway","Reactome"
"HSP90AA1","Reactome | Diseases of signal transduction by growth factor receptors and second messengers","target-pathway","Reactome"
"PIM1","Reactome | Diseases of signal transduction by growth factor receptors and second messengers","target-pathway","Reactome"
"APP","Reactome | GPCR ligand binding","target-pathway","Reactome"
"C3AR1","Reactome | GPCR ligand binding","target-pathway","Reactome"
"APP","Reactome | Purinergic signaling in leishmaniasis infection","target-pathway","Reactome"
"P2RX7","Reactome | Purinergic signaling in leishmaniasis infection","target-pathway","Reactome"
"C3AR1","Reactome | Purinergic signaling in leishmaniasis infection","target-pathway","Reactome"
"APP","Reactome | Cell recruitment (pro-inflammatory response)","target-pathway","Reactome"
"P2RX7","Reactome | Cell recruitment (pro-inflammatory response)","target-pathway","Reactome"
"C3AR1","Reactome | Cell recruitment (pro-inflammatory response)","target-pathway","Reactome"
